Toll Plaza Name,Latitude,Longitude
Hathitala,25.5668139,71.4298224
Hingonia,27.0460819689743,75.42466435666758
Indranagar,11.6035747,77.8700279
Jasnathnagar,26.7161546,72.8378588
Jaswantpura,25.95237865,78.52501608580303
Khachrol,25.2286248,75.0700092
Khara,32.1244046,52.6346033
Khedi,23.471094,74.96335672844964
Kheerwa,27.8341428,75.1027106
Khudiyala,26.6166923,73.0043006
Kishorepura,24.05056995,75.66499513896424
Kondar,35.9034362,10.243928457541202
Korai,20.99902555,86.17099650213487
Lakhasar,29.0332214,74.7240053
Lal Ka Khera,25.4935268,75.3101849
Lambiya Kalan,25.5844877,74.5870135
Lasedi,28.7070481,75.4833295
LATHI,21.724718,71.3899959
Malera,41.9299102,0.7204382
Malkisar,28.6761305,73.913269
Manoharpur,22.26090035,85.21995002564009
Meghawas,26.1673788,72.4695968
Methoon,24.4046759,76.5018796
Morani (Pokaran),26.8888708,71.9959187
Narayanpura,21.89318165,75.58241749480152
Narsana,25.4727234,72.5723791
Negadiya,24.1019023,76.6456032
Nekawala,27.2420582,76.070044
Netra,22.2084278,88.2544759
Nimbasar,25.5422672,71.381371
Nimbi Jodha,27.533083,74.3435173
Nokhra,25.4770553,71.6183452
Norangdesar,28.0682311,73.5652211
Paduna,42.6803392814875,13.985392205198073
Pallai,9.6076371,80.3300157
Panchu,23.2976443,85.7237649
Parwa,25.025060600000003,79.32159856213025
Patau,6.0551107,116.9769462
Raipur,21.2380912,81.6336993
Rajadhok,26.85894165,76.10408770000001
Rajora Khurd,26.8469321,77.7255678
Ramdevra,27.0070434,71.9301472
Rashidpura,30.6217747,76.4423132
Rupa Kheda,23.2384068,75.07011448559649
Salasar,28.0390881,74.0021896
Sangana,4.3304188,5.9837039
Seora,25.7144933,77.70766014104413
Shahjahanpur,27.9128583,79.74762537616267
Shobhasar,28.1196001,73.2331106
Sikandra,26.3757328,79.63940500600728
Sitarampura,26.3379992,75.6637001
Tankla,27.0293311,73.5137486
Tatiyawas,27.0920742,75.7367849
Thikariya (Jaipur),26.8480425,75.6193685
Tidiyasar,28.0727623,74.7337016
Titoli,29.4435405,79.5151806
Bogalur,9.4124369,78.7127621
Boothakudi,10.6481662,78.5702276
Chennasamudram,13.07645,79.0770545
