Toll Plaza Name,Latitude,Longitude
Bisalwas,28.4573789,75.8846204
Buchawas,28.6171759,74.88409
Chandlana,29.8633168,76.6362293
Chaudhriwas,29.00874619999999,75.6048047
Chhara,28.6974457,76.71344959999999
Dabwali,29.948049,74.7341349
Dadri,28.5525772,77.55481
Dahar,29.1650224,48.0679507
Dighal,28.7694809,76.632607
Ghaggar,29.44644872983873,74.51666611949518
Gharaunda (Karnal),29.5397333,76.9731017
Ghata Shamsabad Toll Plaza,27.7593534,77.01614359999999
Ghulal,30.8437482,76.1276465
Jaloli,30.5815984,76.9405398
Jat Guwana,28.1176041,76.1834456
Jharothi,28.9334521,76.9376587
Jogewala,30.8330387,75.01584299999999
Khalilpur Toll Plaza,28.1582097,77.15393209999999
Kharkhra,28.9367976,76.3666226
Khatkar,29.4030017,76.24501529999999
Kherari,28.7857136,76.36951669999999
Kilazafargarh,29.0860267,76.429554
Kitlana,28.6792117,76.1747511
Landhari,29.3020809,75.660084
Ludana,29.2410185,76.5098017
Madina Korsan,28.9185062,76.4389549
Makrauli Kalan,28.9491511,76.6427152
Mohna,28.2226104,77.4443807
Morwala,28.639011,76.40279369999999
Narwana,29.5959853,76.1149662
Pabnawa,29.8895181,76.66148530000001
Panipat Elevated,29.3909464,76.9635023
Peont,29.631169,76.79911419999999
Pinan Toll Plaza,27.2352976,76.7581574
Rohad,28.7425172,76.8072196
Saini Majra,30.8033669,76.7083984
Shergarh,24.8296819,83.7385073
Dolhu Nallah (Raison),32.0718595,77.1302592
Moura Toll Plaza,31.2116442,76.64055929999999
Takoli Toll Plaza,31.7980989,77.1888709
Bann,49.3920342,7.610801899999999
Dondpur,25.8516192,81.8634132
Kaichachkoot,33.8883687,75.0904024
Lakhanpur Rajbagh,34.0661987,74.8287807
Nashri,33.1024374,75.2886237
Thandikhui,32.6079988,74.94352789999999
Ujroo,33.566817,75.1859101
Edalhatu,23.1816778,85.5657476
Ghanghri (Kulgo ),24.0292526,85.9342873
Hazaribag,23.9924669,85.3636758
Hesmi (Mandar),23.4674957,85.0729949
Kauwakhoh (Hariharnath)Toll Plaza,24.5058349,84.2486539
Kokpara,22.4513845,86.589276
Kothiya,27.2883757,78.72211229999999
Nagwan Toll Plaza,24.0471619,85.38741399999999
Navasari,20.9467019,72.95203479999999
Patrachauli Toll Plaza,23.3214381,85.150843
Pundag,23.3456962,85.2705972
Pupunki,23.6975471,86.2018717
Rasoiya Dhamna,24.3151811,85.3988579
Sosokhurd,23.5493735,85.75512880000001
Tand Balidih,23.6665269,86.0581267
Attibele (BETPL),12.778963,77.7702029
Bagepalli,13.784605,77.7981834
Balenahalli,14.267297,76.5430429
Bankapur,14.9200706,75.2624898
Belekeri,14.7068533,74.2663499
Brahamarakotlu,12.8764969,75.00196679999999
Chalageri,14.5667481,75.7211578
Doddakarenahalli (Neelmangala ),13.0686968,77.3450155
Elevated Section/ Electronic City,12.8452145,77.6601695
Gabbur Toll Plaza,15.3186632,75.1399318
Ganebail Toll Plaza,15.6872213,74.490661
Goa Road Interchange,15.2993265,74.12399599999999
Guilalu,14.049812,76.5614665
Gundmi ( Sasthan ),13.482031,74.7073692
Halligudi,15.4016194,75.8333986
Hattargi,16.1338722,74.51844009999999
Hebbalu,14.3817958,76.09285109999999
Hejamadi,13.1085041,74.7740939
Hirebagewadi,15.7738846,74.6444348
Hirehalli,13.2718135,77.180149
Hitnal,15.3309542,76.31284749999999
Holegadde,14.3667376,74.421785
Hoskote,13.0692593,77.7982428
Hulikunte,13.2763981,77.35186329999999
K N Hundy,12.2130339,76.6629785
Kalghatagi Road Interchange,15.1796811,74.96951349999999
Kamkole,17.6480734,77.8078759
Kannanakatte,14.554783,76.4297675
Kannegala,11.7803417,76.6008334
Kannolli,16.859048,76.1488639
Karabylu (Bellur Cross),12.9618004,76.7426701
Karajeevanahalli,13.6118167,76.9538278
Karwar Road Interchange,15.3482011,75.1333819
Kasaba (Bijapur),16.8301708,75.710031
Kaythsandra/Tumkur/Chokkanahalli,13.0856954,77.6301154
Kirisave (Kadabhalli),12.963765,76.6376612
Kognoli,16.5423384,74.3308864
Mangalgi,17.7533053,77.30085059999999
Mulbagal,13.1666533,78.39407369999999
Nagarhalla,16.2904811,75.92360359999999
Nalawadi,15.3659311,75.3415823
Nalluru Devanahalli,13.1974013,77.7638042
Narendra Toll Plaza,15.4887404,74.96985149999999
Neelamangala  - Tumkur /Kulumepalya,13.3378762,77.117325
Rajatadripura Toll Plaza,13.3287754,76.6855045
Sadahalli,13.2111655,77.64609540000001
Shahapur,19.4520777,73.3279586
Shanthigrama,12.9838797,76.2181121
Sheshagirihalli Toll Plaza,12.840454,77.4184562
Shirur,18.8249767,74.3775524
Surathkal,12.9951009,74.80944579999999
Talapady,12.7646754,74.8890953
Tarihal Road Interchange,15.3733119,75.0762491
Thimmalapura,15.032695,76.36951669999999
Towards Bengaluru,18.4584618,73.8250286
Towards Neelmangla,13.097301,77.38563979999999
Yeddore,12.245793,76.8843467
Akkulam (MoRTH),8.5334906,76.90474379999999
Chullimada Hamlet (Pampampallam),10.7977207,76.7927981
Kollam,8.8932118,76.6141396
Kumbalam,9.9021698,76.3103929
Kundannur (MoRTH),9.944636599999999,76.31451880000002
Paliyekkara,10.445455,76.2582941
Panniyankara Toll Plaza,10.5910395,76.4585616
Ponnarimangalam,10.0045239,76.2616704
Thiruvallam,8.4478996,76.9556643
Varapuzha Bridge (MoRTH),10.0728163,76.28150029999999
Allonia,42.346351,-71.03139829999999
Ashoka DSC Katni bypass (MoRTH),23.8343441,80.38938139999999
Bagwada,20.4344489,72.9134468
Baharagaon,22.3116064,77.2376414
Bahoripar (Khursi),23.0455201,79.92731529999999
Bakoli,28.816042,77.1419835
Bhuteda  (Entry Exit )Toll Plaza,23.6082814,75.145782
Borkhedi (Nagpur ByPass),20.8560864,78.96360190000001
Chapra (TP I),25.7811397,84.7543413
Chhegaon Makhan (Mokalgaon),21.8317669,76.2174935
Chikhalikala,21.8419326,78.43333659999999
Chitora,26.3215219,78.478036
Choundha,26.5179677,77.9690244
Dagrai,24.358935,77.5934621
Daroda,20.4667476,78.7709978
Dattigaon,22.7096833,74.8653331
Devgaon,19.5603269,73.1393861
Dhamnod  (Entry Exit ) Toll Plaza,22.2138885,75.4723411
Fulara,22.0379262,79.42779569999999
Gadha Toll Plaza,21.921406,77.73804179999999
Goragaon Toll Plaza,25.971769,78.8367135
Guna Bypass,24.6203699,77.26146109999999
Gwalior Bypass (Mehra),26.2124007,78.1772053
Harshili,23.0096605,78.1535928
Indore Dewas  (Indore Bypass),22.7280517,75.9328839
Indore Dewas (Indore side),22.9675929,76.0534454
Jaitpur,28.5082271,77.33079719999999
Jajau (Old Baretha),26.9431796,77.94102509999999
Jogipura,29.7477595,77.40994970000001
Jungawani,21.8522135,79.1280402
Kachnaria,23.7301654,76.6921612
Kelwad,21.4612335,78.8771871
Khadda,26.9256035,83.9473019
Khalghat  (Indore - Khalghat),22.1568577,75.4453973
"Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)",19.7514798,75.7138884
Khambara,21.693059,78.41266
Khawasa FP,21.7034654,79.4422593
Kherwasani,24.1301546,80.6021614
Khiriya,25.8918368,83.44167759999999
Luharali,31.6563701,76.4971693
Madai,22.5577454,78.0922911
Majhgawan,24.9136699,80.8073259
Malthone,24.3045713,78.52792629999999
Mandwara,24.9558003,72.7714774
Mangaon Toll Plaza,21.9010125,75.6044531
Mansar (Kamptee - Kanhan Bypass)/ Tekadi,21.2571351,79.2264548
Mauhari,24.43833,81.1223656
Methwada,22.6553998,75.55678209999999
Milanpur,26.4652908,91.4386366
Mohtara,21.6569215,82.4183927
Mudkheda,25.6789935,77.71659249999999
Mundiyar,26.9882143,73.6182979
Mungwari,22.6249915,77.6445785
Neemthur (Entry Exit )Toll Plaza,24.5421896,75.7923778
Nipaniya Toll Plaza,23.2824257,75.8214371
Odhaki Paipkhar,24.4048889,81.0789305
Pagariya (Semalkhedi )Toll Plaza,23.88617,76.1493891
Palhan Toll Plaza,24.7707638,81.4008738
Palkhanda Toll Plaza,23.0411329,75.9470498
Pandutala,22.364493,80.8156324
Panihaar,26.0982148,78.0281004
Para,35.2106377,-80.86331779999999
Patansawangi,21.3303408,79.02071269999999
Patariya Goyal,23.1319288,76.69035699999999
Patharahata,24.358153,80.8156324
Purankhedi,25.1669207,77.62210910000002
Ramnagar,29.3947643,79.1264997
Rati Rampura Toll Plaza,26.6310223,78.1438742
Rojwas(TP II),23.3155322,76.18706809999999
Saliwada,23.1087241,80.0003875
Sarasdol,22.6007153,79.60037369999999
Sehatganj,23.26081,77.6321339
Sendurwafa,21.0839655,80.0150644
Shahdol (Dhuwar ),23.2893218,81.4320188
Shahpura,27.3842893,75.9611437
Sonkacch,22.9729348,76.3469014
Sonvarsaa,24.1160705,81.795401
Sonvay (Indore - Khalghat),22.6235804,75.7676728
Talen (Mirzapur),25.1336987,82.5644344
Timarwani (Entry Exit ) Toll Plaza,23.0929137,74.54046939999999
Titarpani,23.2393589,79.050381
Ujara,25.1229205,79.73648229999999
Vishankheda,23.1992025,76.9326167
Anewadi,17.8051386,73.96243270000001
Ankadhal Toll Plaza,17.3560475,75.07863569999999
Arjunali,19.362911,73.1684081
Ashiv,18.0918947,76.3521514
Ashta Toll Plaza,18.469501,76.751685
Badewadi,19.1609439,75.34413289999999
Baswant (Pimplegaon),20.1654012,73.9879323
Bhamb,31.55441099999999,72.234734
Bhokarwadi Malewadi,17.5324695,73.87866009999999
Borgaon,18.4447416,75.2654063
Chachadgaon,20.2224829,73.67311959999999
Chalakwadi,19.1684468,74.07150299999999
Chandloi/ Rajgurunagar (MoRTH),18.8556627,73.887552
Chandwad,20.3271277,74.2472779
Charoti,19.9195519,72.9308968
Dasarkhed Toll Plaza,20.9727189,76.1796363
Dhoki,18.3712458,76.10445059999999
Dhumka Tondgaon,20.0209252,77.1657716
Dumberwadi,19.2425761,74.0079781
Gondkhairi ( Kondhali ),21.136345,78.6382871
Hatnoor,19.5050654,76.5083562
Hivargaon Pavsa,19.5109738,74.21499779999999
Husnapur,20.5437937,78.3074027
Ichgaon,17.6030783,75.6033497
Karanja (Ghadge),21.1627074,78.40839489999999
Kardha (MoRTH),21.1422593,79.67406629999999
Kardha Toll Plaza ( Bhnadara ),21.1395057,79.6755881
Karodi,19.8907068,75.21873459999999
Kawdipath (MoRTH),18.492121,74.00067299999999
Kelapur,19.9999499,78.5334307
Khaniwade,19.4986714,72.9098819
Kharbi,21.1348064,79.1401289
Kharegaon (MoRTH),19.2050447,72.9994986
Kharpada (MoRTH),18.831546,73.0929132
Khedshivapur,18.3440101,73.8430091
Kurankhed,20.6819265,77.2462628
Laling (Dhule),20.81993,74.7461427
Malegaon Toll Plaza,18.829867,77.01360199999999
Maliwadi  Bhokarwadi Toll Plaza,19.6106773,75.626628
Medshi Sawarkhda,20.3272405,76.9427006
Millampalli,16.0825571,79.2958491
Nandani Toll Plaza,17.4732182,75.85520609999999
